TaxDistrict,Municode,MuniDesc
PITTSBURGH,101,PITTSBURGH - 1ST WARD
PITTSBURGH,102,PITTSBURGH - 2ND WARD
PITTSBURGH,103,PITTSBURGH - 3RD WARD
PITTSBURGH,104,PITTSBURGH - 4TH WARD
PITTSBURGH,105,PITTSBURGH - 5TH WARD
PITTSBURGH,106,PITTSBURGH - 6TH WARD
PITTSBURGH,107,PITTSBURGH - 7TH WARD
PITTSBURGH,108,PITTSBURGH - 8TH WARD
PITTSBURGH,109,PITTSBURGH - 9TH WARD
PITTSBURGH,110,PITTSBURGH - 10TH WARD
PITTSBURGH,111,PITTSBURGH - 11TH WARD
PITTSBURGH,112,PITTSBURGH - 12TH WARD
PITTSBURGH,113,PITTSBURGH - 13TH WARD
PITTSBURGH,114,PITTSBURGH - 14TH WARD
PITTSBURGH,115,PITTSBURGH - 15TH WARD
PITTSBURGH,116,PITTSBURGH - 16TH WARD
PITTSBURGH,117,PITTSBURGH - 17TH WARD
PITTSBURGH,118,PITTSBURGH - 18TH WARD
PITTSBURGH,119,PITTSBURGH - 19TH WARD
PITTSBURGH,120,PITTSBURGH - 20TH WARD
PITTSBURGH,121,PITTSBURGH - 21ST WARD
PITTSBURGH,122,PITTSBURGH - 22ND WARD
PITTSBURGH,123,PITTSBURGH - 23RD WARD
PITTSBURGH,124,PITTSBURGH - 24TH WARD
PITTSBURGH,125,PITTSBURGH - 25TH WARD
PITTSBURGH,126,PITTSBURGH - 26TH WARD
PITTSBURGH,127,PITTSBURGH - 27TH WARD
PITTSBURGH,128,PITTSBURGH - 28TH WARD
PITTSBURGH,129,PITTSBURGH - 29TH WARD
PITTSBURGH,130,PITTSBURGH - 30TH WARD
PITTSBURGH,131,PITTSBURGH - 31ST WARD
PITTSBURGH,132,PITTSBURGH - 32ND WARD
CLAIRTON,201,CLAIRTON - 1ST WARD
CLAIRTON,202,CLAIRTON - 2ND WARD
DUQUESNE,301,DUQUESNE - 1ST WARD
DUQUESNE,302,DUQUESNE - 2ND WARD
DUQUESNE,303,DUQUESNE - 3RD WARD
MCKEESPORT,401,MCKEESPORT - 1ST WARD
MCKEESPORT,402,MCKEESPORT - 2ND WARD
MCKEESPORT,403,MCKEESPORT - 3RD WARD
MCKEESPORT,404,MCKEESPORT - 4TH WARD
MCKEESPORT,405,MCKEESPORT - 5TH WARD
MCKEESPORT,406,MCKEESPORT - 6TH WARD
MCKEESPORT,407,MCKEESPORT - 7TH WARD
MCKEESPORT,408,MCKEESPORT - 8TH WARD
MCKEESPORT,409,MCKEESPORT - 9TH WARD
MCKEESPORT,410,MCKEESPORT - 10TH WARD
MCKEESPORT,411,MCKEESPORT - 11TH WARD
MCKEESPORT,412,MCKEESPORT - 12TH WARD
ASPINWALL,801,ASPINWALL
AVALON,802,AVALON
BELLEVUE,803,BELLEVUE
BEN AVON,804,BEN AVON
BEN AVON HEIGHTS,805,BEN AVON HEIGHTS
BLAWNOX,806,BLAWNOX
BRACKENRIDGE,807,BRACKENRIDGE
BRADDOCK,808,BRADDOCK
BRADFORD WOODS,809,BRADFORD WOODS
BRENTWOOD,810,BRENTWOOD
BRIDGEVILLE,811,BRIDGEVILLE
CARNEGIE,812,CARNEGIE
CASTLE SHANNON,813,CASTLE SHANNON
CHALFANT,814,CHALFANT
CHESWICK,815,CHESWICK
CHURCHILL,816,CHURCHILL
CORAOPOLIS,817,CORAOPOLIS
CRAFTON,818,CRAFTON
DORMONT,819,DORMONT
DRAVOSBURG,820,DRAVOSBURG
EAST MCKEESPORT,821,EAST MCKEESPORT
EAST PITTSBURGH,822,EAST PITTSBURGH
EDGEWOOD,823,EDGEWOOD
EDGEWORTH,824,EDGEWORTH
ELIZABETH BORO,825,ELIZABETH BORO
EMSWORTH,826,EMSWORTH
ETNA,827,ETNA
FOREST HILLS,828,FOREST HILLS
GLASSPORT,829,GLASSPORT
GLENFIELD,830,GLENFIELD
GREENTREE,831,GREENTREE
HAYSVILLE,832,HAYSVILLE
HEIDELBERG,833,HEIDELBERG
HOMESTEAD,834,HOMESTEAD
INGRAM,835,INGRAM
LEETSDALE,836,LEETSDALE
LIBERTY,837,LIBERTY
MILLVALE,838,MILLVALE
MT. OLIVER,839,MT. OLIVER
MUNHALL,840,MUNHALL
MCDONALD,841,MCDONALD
MCKEES ROCKS,842,MCKEES ROCKS
NORTH BRADDOCK,843,NORTH BRADDOCK
OAKDALE,844,OAKDALE
OAKMONT,845,OAKMONT
GLEN OSBORNE,846,GLEN OSBORNE
PITCAIRN,847,PITCAIRN
PORT VUE,848,PORT VUE
RANKIN,849,RANKIN
ROSSLYN FARMS,850,ROSSLYN FARMS
SEWICKLEY,851,SEWICKLEY
SHARPSBURG,852,SHARPSBURG
SPRINGDALE BORO,853,SPRINGDALE BORO
SWISSVALE,854,SWISSVALE
TARENTUM,855,TARENTUM
THORNBURG,856,THORNBURG
TRAFFORD,857,TRAFFORD
TURTLE CREEK,858,TURTLE CREEK
VERONA,859,VERONA
VERSAILLES,860,VERSAILLES
WALL,861,WALL
WEST ELIZABETH,862,WEST ELIZABETH
WEST HOMESTEAD,863,WEST HOMESTEAD
WEST VIEW,864,WEST VIEW
WHITAKER,865,WHITAKER
WILKINSBURG,866,WILKINSBURG
WILMERDING,867,WILMERDING
FOX CHAPEL,868,FOX CHAPEL
SEWICKLEY HEIGHTS,869,SEWICKLEY HEIGHTS
WEST MIFFLIN,870,WEST MIFFLIN
PENNSBURY VILLAGE,871,PENNSBURY VILLAGE
BRADDOCK HILLS,872,BRADDOCK HILLS
PLEASANT HILLS,873,PLEASANT HILLS
WHITEHALL,874,WHITEHALL
WHITE OAK,875,WHITE OAK
BETHEL PARK,876,BETHEL PARK
BALDWIN BORO,877,BALDWIN BORO
JEFFERSON,878,JEFFERSON
MONROEVILLE,879,MONROEVILLE
PLUM,880,PLUM
LINCOLN,881,LINCOLN
SEWICKLEY HILLS,882,SEWICKLEY HILLS
BELL ACRES,883,BELL ACRES
FRANKLIN PARK,884,FRANKLIN PARK
ALEPPO,901,ALEPPO
BALDWIN TOWNSHIP,902,BALDWIN TOWNSHIP
COLLIER,905,COLLIER
CRESCENT,906,CRESCENT
EAST DEER,907,EAST DEER
ELIZABETH TOWNSHIP,908,ELIZABETH TOWNSHIP
FAWN,909,FAWN
FINDLAY,910,FINDLAY
FORWARD,911,FORWARD
FRAZER,913,FRAZER
HAMPTON,914,HAMPTON
HARMAR,915,HARMAR
HARRISON,916,HARRISON
INDIANA,917,INDIANA
KENNEDY,919,KENNEDY
KILBUCK,920,KILBUCK
LEET,921,LEET
MARSHALL,923,MARSHALL
MOON,925,MOON
MT. LEBANON,926,MT. LEBANON
MCCANDLESS,927,MCCANDLESS
NEVILLE,928,NEVILLE
NORTH FAYETTE,929,NORTH FAYETTE
NORTH VERSAILLES,930,NORTH VERSAILLES
O'HARA,931,O'HARA
OHIO,932,OHIO
PENN HILLS,934,PENN HILLS
PINE,935,PINE
RESERVE,937,RESERVE
RICHLAND,938,RICHLAND
ROBINSON,939,ROBINSON
ROSS,940,ROSS
SCOTT,941,SCOTT
SHALER,944,SHALER
SOUTH PARK,945,SOUTH PARK
SOUTH FAYETTE,946,SOUTH FAYETTE
SOUTH VERSAILLES,947,SOUTH VERSAILLES
SPRINGDALE TOWNSHIP,948,SPRINGDALE TOWNSHIP
STOWE,949,STOWE
UPPER ST. CLAIR,950,UPPER ST. CLAIR
WEST DEER,952,WEST DEER
WILKINS,953,WILKINS
